,N,dim,std,jump,jump_prob,ve,L2,L2_true
0,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
1,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
2,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
3,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
4,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
5,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
6,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
7,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
8,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
9,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
10,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
11,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
12,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
13,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
14,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
15,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
16,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
17,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
18,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
19,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
20,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
21,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
22,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
23,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
24,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
25,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
26,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
27,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
28,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
29,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
30,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
31,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
32,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
33,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
34,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
35,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
36,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
37,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
38,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
39,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
40,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
41,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
42,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
43,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
44,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
45,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
46,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
47,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
48,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
49,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
50,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
51,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
52,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
53,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
54,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
55,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
56,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
57,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
58,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
59,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
60,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
61,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
62,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
63,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
64,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
65,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
66,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
67,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
68,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
69,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
70,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
71,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
72,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
73,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
74,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
75,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
76,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
77,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
78,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
79,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
80,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
81,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
82,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
83,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
84,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
85,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
86,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
87,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
88,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
89,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
90,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
91,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
92,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
93,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
94,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
95,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
96,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
97,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
98,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
99,1,1,0.01,0.3,0.5,0.01,3.62106,0.7449
0,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
1,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
2,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
3,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
4,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
5,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
6,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
7,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
8,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
9,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
10,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
11,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
12,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
13,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
14,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
15,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
16,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
17,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
18,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
19,1,1,0.01,0.3,0.5,0.0025,3.62106,1.32939
