,N,dim,std,jump,jump_prob,ve,L2,L2_true
0,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
1,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
2,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
3,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
4,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
5,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
6,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
7,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
8,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
9,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
10,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
11,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
12,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
13,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
14,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
15,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
16,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
17,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
18,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
19,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
20,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
21,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
22,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
23,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
24,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
25,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
26,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
27,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
28,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
29,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
30,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
31,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
32,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
33,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
34,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
35,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
36,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
37,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
38,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
39,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
40,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
41,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
42,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
43,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
44,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
45,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
46,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
47,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
48,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
49,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
50,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
51,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
52,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
53,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
54,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
55,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
56,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
57,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
58,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
59,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
60,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
61,1,1,0.01,0.3,0.5,0.01,3.61562,0.74477
