,N,dim,std,jump,jump_prob,ve,L2,L2_true
0,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
1,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
2,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
3,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
4,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
5,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
6,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
7,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
8,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
9,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
10,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
11,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
12,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
13,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
14,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
15,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
16,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
17,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
18,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
19,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
20,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
21,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
22,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
23,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
24,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
25,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
26,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
27,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
28,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
29,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
30,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
31,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
32,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
33,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
34,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
35,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
36,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
37,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
38,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
39,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
40,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
41,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
42,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
43,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
44,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
45,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
46,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
47,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
48,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
49,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
50,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
51,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
52,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
53,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
54,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
55,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
56,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
57,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
58,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
59,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
60,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
61,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
62,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
63,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
64,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
65,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
66,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
67,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
68,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
69,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
70,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
71,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
72,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
73,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
74,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
75,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
76,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
77,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
78,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
79,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
80,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
81,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
82,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
83,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
84,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
85,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
86,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
87,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
