,N,dim,std,jump,jump_prob,ve,L2,L2_true
0,100,1,0.01,0.3,0.5,1.0,3.62065,0.00216
1,100,1,0.01,0.3,0.5,1.0,3.62065,0.00212
2,100,1,0.01,0.3,0.5,1.0,3.62064,0.00224
3,100,1,0.01,0.3,0.5,1.0,3.62066,0.00213
4,100,1,0.01,0.3,0.5,1.0,3.62065,0.00214
5,100,1,0.01,0.3,0.5,1.0,3.62067,0.0021
6,100,1,0.01,0.3,0.5,1.0,3.62065,0.0021
7,100,1,0.01,0.3,0.5,1.0,3.62065,0.00209
8,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
9,100,1,0.01,0.3,0.5,1.0,3.62066,0.00213
10,100,1,0.01,0.3,0.5,1.0,3.62065,0.00213
11,100,1,0.01,0.3,0.5,1.0,3.62064,0.00219
12,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
13,100,1,0.01,0.3,0.5,1.0,3.62064,0.00214
14,100,1,0.01,0.3,0.5,1.0,3.62064,0.00214
15,100,1,0.01,0.3,0.5,1.0,3.62065,0.0021
16,100,1,0.01,0.3,0.5,1.0,3.62066,0.0021
17,100,1,0.01,0.3,0.5,1.0,3.62065,0.0022
18,100,1,0.01,0.3,0.5,1.0,3.62065,0.00212
19,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
20,100,1,0.01,0.3,0.5,1.0,3.62064,0.0021
21,100,1,0.01,0.3,0.5,1.0,3.62065,0.0021
22,100,1,0.01,0.3,0.5,1.0,3.62064,0.00221
23,100,1,0.01,0.3,0.5,1.0,3.62066,0.00207
24,100,1,0.01,0.3,0.5,1.0,3.62064,0.00221
25,100,1,0.01,0.3,0.5,1.0,3.62065,0.00212
26,100,1,0.01,0.3,0.5,1.0,3.62064,0.00216
27,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
28,100,1,0.01,0.3,0.5,1.0,3.62066,0.00205
29,100,1,0.01,0.3,0.5,1.0,3.62064,0.00212
30,100,1,0.01,0.3,0.5,1.0,3.62064,0.00212
31,100,1,0.01,0.3,0.5,1.0,3.62065,0.0021
32,100,1,0.01,0.3,0.5,1.0,3.62065,0.0022
33,100,1,0.01,0.3,0.5,1.0,3.62066,0.00205
34,100,1,0.01,0.3,0.5,1.0,3.62066,0.00213
35,100,1,0.01,0.3,0.5,1.0,3.62066,0.00207
36,100,1,0.01,0.3,0.5,1.0,3.62066,0.0021
37,100,1,0.01,0.3,0.5,1.0,3.62065,0.00208
38,100,1,0.01,0.3,0.5,1.0,3.62065,0.00214
39,100,1,0.01,0.3,0.5,1.0,3.62064,0.00219
40,100,1,0.01,0.3,0.5,1.0,3.62065,0.00227
41,100,1,0.01,0.3,0.5,1.0,3.62065,0.00209
42,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
43,100,1,0.01,0.3,0.5,1.0,3.62064,0.0021
44,100,1,0.01,0.3,0.5,1.0,3.62068,0.00205
45,100,1,0.01,0.3,0.5,1.0,3.62064,0.00212
46,100,1,0.01,0.3,0.5,1.0,3.62065,0.00207
47,100,1,0.01,0.3,0.5,1.0,3.62066,0.00207
48,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
49,100,1,0.01,0.3,0.5,1.0,3.62065,0.00214
50,100,1,0.01,0.3,0.5,1.0,3.62065,0.00207
51,100,1,0.01,0.3,0.5,1.0,3.62064,0.00212
52,100,1,0.01,0.3,0.5,1.0,3.62064,0.00215
53,100,1,0.01,0.3,0.5,1.0,3.62065,0.0021
54,100,1,0.01,0.3,0.5,1.0,3.62066,0.0021
55,100,1,0.01,0.3,0.5,1.0,3.62065,0.00219
56,100,1,0.01,0.3,0.5,1.0,3.62066,0.00207
57,100,1,0.01,0.3,0.5,1.0,3.62065,0.0021
58,100,1,0.01,0.3,0.5,1.0,3.62066,0.00208
59,100,1,0.01,0.3,0.5,1.0,3.62065,0.00213
60,100,1,0.01,0.3,0.5,1.0,3.62064,0.00211
61,100,1,0.01,0.3,0.5,1.0,3.62066,0.00207
62,100,1,0.01,0.3,0.5,1.0,3.62065,0.00215
63,100,1,0.01,0.3,0.5,1.0,3.62065,0.00215
64,100,1,0.01,0.3,0.5,1.0,3.62065,0.00216
65,100,1,0.01,0.3,0.5,1.0,3.62066,0.00214
66,100,1,0.01,0.3,0.5,1.0,3.62064,0.00211
67,100,1,0.01,0.3,0.5,1.0,3.62066,0.00213
68,100,1,0.01,0.3,0.5,1.0,3.62065,0.00209
69,100,1,0.01,0.3,0.5,1.0,3.62065,0.00209
70,100,1,0.01,0.3,0.5,1.0,3.62065,0.00217
71,100,1,0.01,0.3,0.5,1.0,3.62066,0.00221
72,100,1,0.01,0.3,0.5,1.0,3.62064,0.00219
73,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
74,100,1,0.01,0.3,0.5,1.0,3.62066,0.00207
75,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
76,100,1,0.01,0.3,0.5,1.0,3.62065,0.00214
77,100,1,0.01,0.3,0.5,1.0,3.62066,0.00212
78,100,1,0.01,0.3,0.5,1.0,3.62065,0.00232
79,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
80,100,1,0.01,0.3,0.5,1.0,3.62066,0.00214
81,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
82,100,1,0.01,0.3,0.5,1.0,3.62066,0.00214
83,100,1,0.01,0.3,0.5,1.0,3.62065,0.00218
84,100,1,0.01,0.3,0.5,1.0,3.62064,0.00214
85,100,1,0.01,0.3,0.5,1.0,3.62065,0.0021
86,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
87,100,1,0.01,0.3,0.5,1.0,3.62066,0.00209
88,100,1,0.01,0.3,0.5,1.0,3.62065,0.00207
89,100,1,0.01,0.3,0.5,1.0,3.62065,0.00206
90,100,1,0.01,0.3,0.5,1.0,3.62064,0.00216
91,100,1,0.01,0.3,0.5,1.0,3.62066,0.00218
92,100,1,0.01,0.3,0.5,1.0,3.62064,0.00215
93,100,1,0.01,0.3,0.5,1.0,3.62065,0.00212
94,100,1,0.01,0.3,0.5,1.0,3.62065,0.00209
95,100,1,0.01,0.3,0.5,1.0,3.62064,0.00216
96,100,1,0.01,0.3,0.5,1.0,3.62065,0.00215
97,100,1,0.01,0.3,0.5,1.0,3.62065,0.00212
98,100,1,0.01,0.3,0.5,1.0,3.62066,0.00209
99,100,1,0.01,0.3,0.5,1.0,3.62065,0.00224
0,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00312
1,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00306
2,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00324
3,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00308
4,100,1,0.01,0.3,0.5,0.82864,3.62043,0.0031
5,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00303
6,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00304
7,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00303
8,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00305
9,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00308
10,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00309
11,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00317
12,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00305
13,100,1,0.01,0.3,0.5,0.82864,3.62042,0.0031
14,100,1,0.01,0.3,0.5,0.82864,3.62042,0.0031
15,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00304
16,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00304
17,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00318
18,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00306
19,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00305
20,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00304
21,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00303
22,100,1,0.01,0.3,0.5,0.82864,3.62042,0.0032
23,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00299
24,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00319
25,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00307
26,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00313
27,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00305
28,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00297
29,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00307
30,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00306
31,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00304
32,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00318
