,N,dim,std,jump,jump_prob,ve,L2,L2_true
0,100,1,0.1,0.3,0.5,1.0,0.74631,0.00166
1,100,1,0.1,0.3,0.5,1.0,0.74621,0.00174
2,100,1,0.1,0.3,0.5,1.0,0.74611,0.00186
3,100,1,0.1,0.3,0.5,1.0,0.74613,0.0018
4,100,1,0.1,0.3,0.5,1.0,0.74609,0.00186
5,100,1,0.1,0.3,0.5,1.0,0.74621,0.00177
6,100,1,0.1,0.3,0.5,1.0,0.74629,0.00165
7,100,1,0.1,0.3,0.5,1.0,0.74638,0.00154
8,100,1,0.1,0.3,0.5,1.0,0.74649,0.00144
9,100,1,0.1,0.3,0.5,1.0,0.74585,0.00211
10,100,1,0.1,0.3,0.5,1.0,0.74599,0.00205
11,100,1,0.1,0.3,0.5,1.0,0.74625,0.00176
12,100,1,0.1,0.3,0.5,1.0,0.746,0.00196
13,100,1,0.1,0.3,0.5,1.0,0.74613,0.00182
14,100,1,0.1,0.3,0.5,1.0,0.74618,0.00184
15,100,1,0.1,0.3,0.5,1.0,0.74601,0.00197
16,100,1,0.1,0.3,0.5,1.0,0.74623,0.00194
17,100,1,0.1,0.3,0.5,1.0,0.74626,0.00165
18,100,1,0.1,0.3,0.5,1.0,0.74601,0.00196
19,100,1,0.1,0.3,0.5,1.0,0.74609,0.00183
20,100,1,0.1,0.3,0.5,1.0,0.74623,0.00175
21,100,1,0.1,0.3,0.5,1.0,0.74615,0.00179
22,100,1,0.1,0.3,0.5,1.0,0.74641,0.00151
23,100,1,0.1,0.3,0.5,1.0,0.7462,0.00178
24,100,1,0.1,0.3,0.5,1.0,0.74615,0.00184
25,100,1,0.1,0.3,0.5,1.0,0.74632,0.0016
26,100,1,0.1,0.3,0.5,1.0,0.74618,0.00179
27,100,1,0.1,0.3,0.5,1.0,0.74618,0.00183
28,100,1,0.1,0.3,0.5,1.0,0.74615,0.00189
29,100,1,0.1,0.3,0.5,1.0,0.7463,0.00166
30,100,1,0.1,0.3,0.5,1.0,0.74602,0.00203
31,100,1,0.1,0.3,0.5,1.0,0.74613,0.00183
32,100,1,0.1,0.3,0.5,1.0,0.74612,0.00197
33,100,1,0.1,0.3,0.5,1.0,0.7463,0.00169
34,100,1,0.1,0.3,0.5,1.0,0.74629,0.00181
35,100,1,0.1,0.3,0.5,1.0,0.74631,0.00164
36,100,1,0.1,0.3,0.5,1.0,0.74617,0.00186
37,100,1,0.1,0.3,0.5,1.0,0.74619,0.00178
38,100,1,0.1,0.3,0.5,1.0,0.74623,0.00171
39,100,1,0.1,0.3,0.5,1.0,0.7463,0.00167
40,100,1,0.1,0.3,0.5,1.0,0.74607,0.00198
41,100,1,0.1,0.3,0.5,1.0,0.74624,0.00171
42,100,1,0.1,0.3,0.5,1.0,0.74615,0.00187
43,100,1,0.1,0.3,0.5,1.0,0.74604,0.00192
44,100,1,0.1,0.3,0.5,1.0,0.74623,0.00173
45,100,1,0.1,0.3,0.5,1.0,0.74614,0.00184
46,100,1,0.1,0.3,0.5,1.0,0.7464,0.00158
47,100,1,0.1,0.3,0.5,1.0,0.74642,0.00155
48,100,1,0.1,0.3,0.5,1.0,0.7465,0.00144
49,100,1,0.1,0.3,0.5,1.0,0.74632,0.00169
50,100,1,0.1,0.3,0.5,1.0,0.74617,0.00177
51,100,1,0.1,0.3,0.5,1.0,0.74653,0.00137
52,100,1,0.1,0.3,0.5,1.0,0.74619,0.00176
53,100,1,0.1,0.3,0.5,1.0,0.74605,0.00196
54,100,1,0.1,0.3,0.5,1.0,0.74624,0.00171
55,100,1,0.1,0.3,0.5,1.0,0.74626,0.00165
56,100,1,0.1,0.3,0.5,1.0,0.74615,0.00182
57,100,1,0.1,0.3,0.5,1.0,0.7462,0.00178
58,100,1,0.1,0.3,0.5,1.0,0.74603,0.00191
59,100,1,0.1,0.3,0.5,1.0,0.74636,0.00157
60,100,1,0.1,0.3,0.5,1.0,0.74591,0.00209
61,100,1,0.1,0.3,0.5,1.0,0.74629,0.00164
62,100,1,0.1,0.3,0.5,1.0,0.74644,0.00154
63,100,1,0.1,0.3,0.5,1.0,0.74646,0.00144
64,100,1,0.1,0.3,0.5,1.0,0.74616,0.00185
65,100,1,0.1,0.3,0.5,1.0,0.74624,0.00171
66,100,1,0.1,0.3,0.5,1.0,0.74595,0.00203
67,100,1,0.1,0.3,0.5,1.0,0.74616,0.00175
68,100,1,0.1,0.3,0.5,1.0,0.74614,0.00179
69,100,1,0.1,0.3,0.5,1.0,0.74631,0.00162
70,100,1,0.1,0.3,0.5,1.0,0.74645,0.00147
71,100,1,0.1,0.3,0.5,1.0,0.74597,0.00201
72,100,1,0.1,0.3,0.5,1.0,0.74598,0.00199
73,100,1,0.1,0.3,0.5,1.0,0.74602,0.0019
74,100,1,0.1,0.3,0.5,1.0,0.74627,0.00165
75,100,1,0.1,0.3,0.5,1.0,0.7462,0.0018
76,100,1,0.1,0.3,0.5,1.0,0.74619,0.00198
77,100,1,0.1,0.3,0.5,1.0,0.74624,0.00171
78,100,1,0.1,0.3,0.5,1.0,0.74637,0.00172
79,100,1,0.1,0.3,0.5,1.0,0.7463,0.00167
80,100,1,0.1,0.3,0.5,1.0,0.74629,0.00163
81,100,1,0.1,0.3,0.5,1.0,0.74602,0.00195
82,100,1,0.1,0.3,0.5,1.0,0.74618,0.002
83,100,1,0.1,0.3,0.5,1.0,0.74622,0.00177
84,100,1,0.1,0.3,0.5,1.0,0.74607,0.00193
85,100,1,0.1,0.3,0.5,1.0,0.7462,0.00173
86,100,1,0.1,0.3,0.5,1.0,0.74636,0.00154
87,100,1,0.1,0.3,0.5,1.0,0.74612,0.00186
88,100,1,0.1,0.3,0.5,1.0,0.74617,0.00175
89,100,1,0.1,0.3,0.5,1.0,0.74626,0.00173
90,100,1,0.1,0.3,0.5,1.0,0.74648,0.00144
91,100,1,0.1,0.3,0.5,1.0,0.74621,0.00175
92,100,1,0.1,0.3,0.5,1.0,0.7463,0.00162
93,100,1,0.1,0.3,0.5,1.0,0.74603,0.00199
94,100,1,0.1,0.3,0.5,1.0,0.74601,0.00194
95,100,1,0.1,0.3,0.5,1.0,0.74616,0.00178
96,100,1,0.1,0.3,0.5,1.0,0.74626,0.00166
97,100,1,0.1,0.3,0.5,1.0,0.74617,0.00177
98,100,1,0.1,0.3,0.5,1.0,0.74634,0.00162
99,100,1,0.1,0.3,0.5,1.0,0.74626,0.00168
0,100,1,0.1,0.3,0.5,0.82864,0.74567,0.0024
1,100,1,0.1,0.3,0.5,0.82864,0.74553,0.00252
2,100,1,0.1,0.3,0.5,0.82864,0.74538,0.0027
3,100,1,0.1,0.3,0.5,0.82864,0.7454,0.0026
4,100,1,0.1,0.3,0.5,0.82864,0.74535,0.0027
5,100,1,0.1,0.3,0.5,0.82864,0.74552,0.00257
6,100,1,0.1,0.3,0.5,0.82864,0.74564,0.00239
7,100,1,0.1,0.3,0.5,0.82864,0.74577,0.00222
8,100,1,0.1,0.3,0.5,0.82864,0.74593,0.00208
9,100,1,0.1,0.3,0.5,0.82864,0.745,0.00305
10,100,1,0.1,0.3,0.5,0.82864,0.7452,0.00297
11,100,1,0.1,0.3,0.5,0.82864,0.74558,0.00254
12,100,1,0.1,0.3,0.5,0.82864,0.74521,0.00283
13,100,1,0.1,0.3,0.5,0.82864,0.74541,0.00264
14,100,1,0.1,0.3,0.5,0.82864,0.74547,0.00266
15,100,1,0.1,0.3,0.5,0.82864,0.74523,0.00285
16,100,1,0.1,0.3,0.5,0.82864,0.74555,0.00282
17,100,1,0.1,0.3,0.5,0.82864,0.7456,0.00239
18,100,1,0.1,0.3,0.5,0.82864,0.74523,0.00284
19,100,1,0.1,0.3,0.5,0.82864,0.74535,0.00264
20,100,1,0.1,0.3,0.5,0.82864,0.74555,0.00253
21,100,1,0.1,0.3,0.5,0.82864,0.74543,0.00259
22,100,1,0.1,0.3,0.5,0.82864,0.74582,0.00218
23,100,1,0.1,0.3,0.5,0.82864,0.74551,0.00258
24,100,1,0.1,0.3,0.5,0.82864,0.74543,0.00266
25,100,1,0.1,0.3,0.5,0.82864,0.74568,0.00232
26,100,1,0.1,0.3,0.5,0.82864,0.74548,0.00259
27,100,1,0.1,0.3,0.5,0.82864,0.74548,0.00264
28,100,1,0.1,0.3,0.5,0.82864,0.74543,0.00273
29,100,1,0.1,0.3,0.5,0.82864,0.74565,0.00241
30,100,1,0.1,0.3,0.5,0.82864,0.74525,0.00294
31,100,1,0.1,0.3,0.5,0.82864,0.74541,0.00264
32,100,1,0.1,0.3,0.5,0.82864,0.74539,0.00285
33,100,1,0.1,0.3,0.5,0.82864,0.74565,0.00245
34,100,1,0.1,0.3,0.5,0.82864,0.74563,0.00262
35,100,1,0.1,0.3,0.5,0.82864,0.74567,0.00237
36,100,1,0.1,0.3,0.5,0.82864,0.74546,0.00269
37,100,1,0.1,0.3,0.5,0.82864,0.7455,0.00257
38,100,1,0.1,0.3,0.5,0.82864,0.74556,0.00248
39,100,1,0.1,0.3,0.5,0.82864,0.74565,0.00242
40,100,1,0.1,0.3,0.5,0.82864,0.74532,0.00286
41,100,1,0.1,0.3,0.5,0.82864,0.74556,0.00247
42,100,1,0.1,0.3,0.5,0.82864,0.74543,0.0027
43,100,1,0.1,0.3,0.5,0.82864,0.74528,0.00277
44,100,1,0.1,0.3,0.5,0.82864,0.74555,0.0025
45,100,1,0.1,0.3,0.5,0.82864,0.74543,0.00265
46,100,1,0.1,0.3,0.5,0.82864,0.7458,0.00229
47,100,1,0.1,0.3,0.5,0.82864,0.74583,0.00224
48,100,1,0.1,0.3,0.5,0.82864,0.74595,0.00209
49,100,1,0.1,0.3,0.5,0.82864,0.74568,0.00245
50,100,1,0.1,0.3,0.5,0.82864,0.74546,0.00255
51,100,1,0.1,0.3,0.5,0.82864,0.74599,0.00199
52,100,1,0.1,0.3,0.5,0.82864,0.74549,0.00254
53,100,1,0.1,0.3,0.5,0.82864,0.74529,0.00284
54,100,1,0.1,0.3,0.5,0.82864,0.74557,0.00247
55,100,1,0.1,0.3,0.5,0.82864,0.74559,0.00238
56,100,1,0.1,0.3,0.5,0.82864,0.74543,0.00263
57,100,1,0.1,0.3,0.5,0.82864,0.7455,0.00258
58,100,1,0.1,0.3,0.5,0.82864,0.74526,0.00277
59,100,1,0.1,0.3,0.5,0.82864,0.74573,0.00228
60,100,1,0.1,0.3,0.5,0.82864,0.74509,0.00303
61,100,1,0.1,0.3,0.5,0.82864,0.74564,0.00237
62,100,1,0.1,0.3,0.5,0.82864,0.74585,0.00223
63,100,1,0.1,0.3,0.5,0.82864,0.74588,0.00209
64,100,1,0.1,0.3,0.5,0.82864,0.74545,0.00268
65,100,1,0.1,0.3,0.5,0.82864,0.74557,0.00248
66,100,1,0.1,0.3,0.5,0.82864,0.74515,0.00293
67,100,1,0.1,0.3,0.5,0.82864,0.74546,0.00253
68,100,1,0.1,0.3,0.5,0.82864,0.74542,0.00259
69,100,1,0.1,0.3,0.5,0.82864,0.74567,0.00235
70,100,1,0.1,0.3,0.5,0.82864,0.74587,0.00213
71,100,1,0.1,0.3,0.5,0.82864,0.74518,0.0029
72,100,1,0.1,0.3,0.5,0.82864,0.74519,0.00287
73,100,1,0.1,0.3,0.5,0.82864,0.74525,0.00275
74,100,1,0.1,0.3,0.5,0.82864,0.74561,0.00238
75,100,1,0.1,0.3,0.5,0.82864,0.74551,0.0026
76,100,1,0.1,0.3,0.5,0.82864,0.74549,0.00288
77,100,1,0.1,0.3,0.5,0.82864,0.74557,0.00248
78,100,1,0.1,0.3,0.5,0.82864,0.74576,0.00249
79,100,1,0.1,0.3,0.5,0.82864,0.74566,0.00242
80,100,1,0.1,0.3,0.5,0.82864,0.74563,0.00236
81,100,1,0.1,0.3,0.5,0.82864,0.74524,0.00283
82,100,1,0.1,0.3,0.5,0.82864,0.74547,0.0029
83,100,1,0.1,0.3,0.5,0.82864,0.74554,0.00256
84,100,1,0.1,0.3,0.5,0.82864,0.74533,0.00279
85,100,1,0.1,0.3,0.5,0.82864,0.74551,0.00251
86,100,1,0.1,0.3,0.5,0.82864,0.74575,0.00222
87,100,1,0.1,0.3,0.5,0.82864,0.74539,0.00269
88,100,1,0.1,0.3,0.5,0.82864,0.74547,0.00253
89,100,1,0.1,0.3,0.5,0.82864,0.74559,0.0025
90,100,1,0.1,0.3,0.5,0.82864,0.74592,0.00209
91,100,1,0.1,0.3,0.5,0.82864,0.74553,0.00254
92,100,1,0.1,0.3,0.5,0.82864,0.74565,0.00235
93,100,1,0.1,0.3,0.5,0.82864,0.74526,0.00288
94,100,1,0.1,0.3,0.5,0.82864,0.74523,0.00281
95,100,1,0.1,0.3,0.5,0.82864,0.74544,0.00258
96,100,1,0.1,0.3,0.5,0.82864,0.74559,0.0024
97,100,1,0.1,0.3,0.5,0.82864,0.74547,0.00257
98,100,1,0.1,0.3,0.5,0.82864,0.74571,0.00234
99,100,1,0.1,0.3,0.5,0.82864,0.7456,0.00243
0,100,1,0.1,0.3,0.5,0.68665,0.74474,0.00347
1,100,1,0.1,0.3,0.5,0.68665,0.74454,0.00363
2,100,1,0.1,0.3,0.5,0.68665,0.74433,0.00389
3,100,1,0.1,0.3,0.5,0.68665,0.74436,0.00376
4,100,1,0.1,0.3,0.5,0.68665,0.74428,0.00389
5,100,1,0.1,0.3,0.5,0.68665,0.74453,0.0037
6,100,1,0.1,0.3,0.5,0.68665,0.7447,0.00344
7,100,1,0.1,0.3,0.5,0.68665,0.74489,0.0032
8,100,1,0.1,0.3,0.5,0.68665,0.74513,0.003
9,100,1,0.1,0.3,0.5,0.68665,0.74378,0.00441
10,100,1,0.1,0.3,0.5,0.68665,0.74407,0.00428
11,100,1,0.1,0.3,0.5,0.68665,0.74462,0.00367
12,100,1,0.1,0.3,0.5,0.68665,0.74409,0.00408
13,100,1,0.1,0.3,0.5,0.68665,0.74437,0.00381
14,100,1,0.1,0.3,0.5,0.68665,0.74447,0.00384
15,100,1,0.1,0.3,0.5,0.68665,0.74411,0.00412
16,100,1,0.1,0.3,0.5,0.68665,0.74457,0.00407
17,100,1,0.1,0.3,0.5,0.68665,0.74465,0.00345
18,100,1,0.1,0.3,0.5,0.68665,0.74412,0.0041
19,100,1,0.1,0.3,0.5,0.68665,0.74428,0.00381
20,100,1,0.1,0.3,0.5,0.68665,0.74457,0.00365
21,100,1,0.1,0.3,0.5,0.68665,0.7444,0.00374
22,100,1,0.1,0.3,0.5,0.68665,0.74496,0.00314
23,100,1,0.1,0.3,0.5,0.68665,0.74452,0.00372
24,100,1,0.1,0.3,0.5,0.68665,0.7444,0.00384
25,100,1,0.1,0.3,0.5,0.68665,0.74476,0.00335
26,100,1,0.1,0.3,0.5,0.68665,0.74448,0.00373
27,100,1,0.1,0.3,0.5,0.68665,0.74447,0.00382
28,100,1,0.1,0.3,0.5,0.68665,0.7444,0.00394
29,100,1,0.1,0.3,0.5,0.68665,0.74472,0.00347
30,100,1,0.1,0.3,0.5,0.68665,0.74413,0.00424
31,100,1,0.1,0.3,0.5,0.68665,0.74438,0.00381
32,100,1,0.1,0.3,0.5,0.68665,0.74435,0.00412
33,100,1,0.1,0.3,0.5,0.68665,0.74472,0.00353
34,100,1,0.1,0.3,0.5,0.68665,0.7447,0.00378
35,100,1,0.1,0.3,0.5,0.68665,0.74475,0.00342
36,100,1,0.1,0.3,0.5,0.68665,0.74445,0.00389
37,100,1,0.1,0.3,0.5,0.68665,0.7445,0.00372
38,100,1,0.1,0.3,0.5,0.68665,0.74458,0.00358
39,100,1,0.1,0.3,0.5,0.68665,0.74472,0.00349
40,100,1,0.1,0.3,0.5,0.68665,0.74424,0.00413
41,100,1,0.1,0.3,0.5,0.68665,0.74459,0.00356
42,100,1,0.1,0.3,0.5,0.68665,0.74441,0.0039
43,100,1,0.1,0.3,0.5,0.68665,0.74419,0.004
44,100,1,0.1,0.3,0.5,0.68665,0.74458,0.00361
45,100,1,0.1,0.3,0.5,0.68665,0.7444,0.00383
46,100,1,0.1,0.3,0.5,0.68665,0.74493,0.0033
47,100,1,0.1,0.3,0.5,0.68665,0.74498,0.00323
48,100,1,0.1,0.3,0.5,0.68665,0.74515,0.00301
49,100,1,0.1,0.3,0.5,0.68665,0.74477,0.00353
50,100,1,0.1,0.3,0.5,0.68665,0.74445,0.00369
51,100,1,0.1,0.3,0.5,0.68665,0.7452,0.00287
52,100,1,0.1,0.3,0.5,0.68665,0.74449,0.00366
53,100,1,0.1,0.3,0.5,0.68665,0.74419,0.00409
54,100,1,0.1,0.3,0.5,0.68665,0.74461,0.00357
55,100,1,0.1,0.3,0.5,0.68665,0.74464,0.00344
56,100,1,0.1,0.3,0.5,0.68665,0.7444,0.00379
57,100,1,0.1,0.3,0.5,0.68665,0.7445,0.00372
58,100,1,0.1,0.3,0.5,0.68665,0.74416,0.00399
59,100,1,0.1,0.3,0.5,0.68665,0.74484,0.00329
60,100,1,0.1,0.3,0.5,0.68665,0.74391,0.00437
61,100,1,0.1,0.3,0.5,0.68665,0.74471,0.00342
62,100,1,0.1,0.3,0.5,0.68665,0.74501,0.00323
