#time(sec):	Om (Hz)	tswh0:	tswh1:	tswh2:	tswh3:	tswh4:	tswh5:	tswh6:	tswh7:	tswm0:	tswm1:	tswm2:	tswm3:	tswm4:	tswm5:	tswm6:	tswm7:	tswl0:	tswl1:	tswl2:	tswl3:	tswl4:	tswl5:	tswl6:	tswl7:
-0.0	0.0140	40.2307	40.2687	40.2922	40.3179	40.2730	40.0484	40.1138	40.1144	40.3165	40.4167	40.4226	40.4021	40.4552	40.2786	40.2421	40.2476	40.5930	40.5084	40.5511	40.6417	40.5998	40.4595	40.3868	40.4245
3.7	0.0140	40.2233	40.2761	40.2987	40.3233	40.2596	40.0473	40.1208	40.1085	40.3153	40.4167	40.4186	40.4049	40.4474	40.2817	40.2452	40.2462	40.5958	40.5084	40.5461	40.6394	40.5901	40.4665	40.3906	40.4219
7.2	0.0140	40.2183	40.2823	40.3031	40.3313	40.2535	40.0484	40.1090	40.0969	40.3190	40.4156	40.4146	40.4062	40.4435	40.2837	40.2462	40.2462	40.5986	40.5118	40.5411	40.6299	40.5840	40.4692	40.3893	40.4192
10.6	0.0140	40.2120	40.2886	40.3075	40.3340	40.2352	40.0559	40.1019	40.0887	40.3240	40.4146	40.4119	40.4089	40.4383	40.2817	40.2441	40.2476	40.6001	40.5130	40.5374	40.6215	40.5744	40.4651	40.3855	40.4166
14.0	0.0140	40.2033	40.2911	40.3097	40.3394	40.2156	40.0677	40.0913	40.0864	40.3252	40.4114	40.4079	40.4089	40.4306	40.2796	40.2400	40.2476	40.5958	40.5141	40.5286	40.6180	40.5695	40.4637	40.3830	40.4153
17.4	0.0140	40.1970	40.2886	40.3141	40.3434	40.2047	40.0752	40.0972	40.0899	40.3264	40.4030	40.4053	40.4143	40.4293	40.2786	40.2358	40.2449	40.5972	40.5198	40.5324	40.6227	40.5635	40.4609	40.3792	40.3995
20.9	0.0140	40.1921	40.2799	40.3152	40.3461	40.1937	40.0806	40.0960	40.0911	40.3227	40.3915	40.4013	40.4225	40.4319	40.2776	40.2327	40.2397	40.5972	40.5255	40.5411	40.6346	40.5550	40.4498	40.3729	40.3903
24.3	0.0140	40.1883	40.2724	40.3174	40.3501	40.1827	40.0849	40.0878	40.0934	40.3202	40.3789	40.4039	40.4320	40.4267	40.2765	40.2296	40.2357	40.5972	40.5370	40.5587	40.6465	40.5538	40.4387	40.3704	40.3772
27.7	0.0140	40.1821	40.2637	40.3185	40.3515	40.1864	40.0849	40.0772	40.0969	40.3178	40.3715	40.4133	40.4415	40.4125	40.2755	40.2255	40.2318	40.5958	40.5611	40.5775	40.6525	40.5514	40.4332	40.3678	40.3680
31.3	0.0140	40.1771	40.2538	40.3240	40.3568	40.1998	40.0849	40.0618	40.1016	40.3153	40.3610	40.4346	40.4496	40.3996	40.2725	40.2224	40.2252	40.5958	40.5840	40.5950	40.6572	40.5610	40.4235	40.3615	40.3602
34.7	0.0140	40.1746	40.2463	40.3284	40.3582	40.2193	40.0849	40.0760	40.1109	40.3116	40.3537	40.4479	40.4578	40.3918	40.2714	40.2193	40.2226	40.5972	40.5978	40.6139	40.6489	40.5586	40.4110	40.3577	40.3497
38.1	0.0140	40.1684	40.2389	40.3373	40.3609	40.2339	40.0882	40.0949	40.1190	40.3116	40.3463	40.4519	40.4659	40.3957	40.2714	40.2162	40.2186	40.5972	40.6081	40.6264	40.6322	40.5466	40.4055	40.3527	40.3536
41.6	0.0140	40.1671	40.2351	40.3494	40.3676	40.2498	40.0914	40.1055	40.1249	40.3091	40.3401	40.4546	40.4741	40.4099	40.2755	40.2130	40.2200	40.6029	40.6104	40.6214	40.6203	40.5345	40.3958	40.3426	40.3536
45.1	0.0140	40.1659	40.2364	40.3582	40.3743	40.2608	40.0914	40.1067	40.1179	40.3128	40.3401	40.4573	40.4768	40.4202	40.2806	40.2079	40.2186	40.6114	40.6070	40.6151	40.6239	40.5224	40.3889	40.3350	40.3602
48.5	0.0140	40.1609	40.2401	40.3670	40.3568	40.2755	40.0946	40.1031	40.1062	40.3178	40.3443	40.4559	40.4768	40.4280	40.2899	40.2037	40.2186	40.6129	40.6058	40.6176	40.6322	40.5116	40.3834	40.3262	40.3654
51.9	0.0140	40.1547	40.2438	40.3747	40.3421	40.2865	40.1011	40.0960	40.0934	40.3240	40.3463	40.4559	40.4727	40.4345	40.2929	40.2006	40.2200	40.6171	40.6001	40.6139	40.6358	40.5031	40.3806	40.3224	40.3667
55.3	0.0140	40.1572	40.2500	40.3791	40.3327	40.2951	40.1032	40.0984	40.0876	40.3289	40.3484	40.4533	40.4700	40.4358	40.2991	40.1954	40.2186	40.6186	40.5897	40.6026	40.6370	40.4971	40.3792	40.3224	40.3602
58.9	0.0140	40.1597	40.2575	40.3835	40.3273	40.2975	40.1054	40.1102	40.0748	40.3301	40.3516	40.4533	40.4659	40.4332	40.3062	40.1903	40.2160	40.6157	40.5874	40.5875	40.6501	40.4923	40.3792	40.3212	40.3510
62.3	0.0140	40.1621	40.2662	40.3880	40.3193	40.2987	40.1086	40.1208	40.0666	40.3313	40.3537	40.4506	40.4673	40.4332	40.3114	40.1892	40.2160	40.6143	40.5909	40.5812	40.6679	40.4875	40.3806	40.3224	40.3418
65.8	0.0140	40.1684	40.2712	40.3902	40.3152	40.3012	40.1194	40.1138	40.0643	40.3301	40.3558	40.4466	40.4686	40.4293	40.3175	40.1882	40.2134	40.6100	40.6024	40.5900	40.6763	40.4802	40.3779	40.3212	40.3339
69.2	0.0140	40.1684	40.2736	40.3891	40.3126	40.3049	40.1270	40.0972	40.0596	40.3277	40.3600	40.4479	40.4686	40.4254	40.3216	40.1903	40.2108	40.6029	40.6127	40.5963	40.6775	40.4766	40.3779	40.3199	40.3287
72.6	0.0140	40.1721	40.2799	40.3869	40.3139	40.3085	40.1378	40.0890	40.0573	40.3227	40.3663	40.4546	40.4714	40.4228	40.3268	40.1882	40.2068	40.5986	40.6265	40.5837	40.6810	40.4694	40.3779	40.3161	40.3248
76.0	0.0140	40.1759	40.2848	40.3858	40.3072	40.3073	40.1464	40.0807	40.0643	40.3227	40.3736	40.4586	40.4714	40.4189	40.3298	40.1882	40.2029	40.5915	40.6323	40.5699	40.6810	40.4646	40.3765	40.3161	40.3195
79.4	0.0140	40.1783	40.2923	40.3847	40.3019	40.3024	40.1540	40.0901	40.0783	40.3178	40.3810	40.4559	40.4741	40.4164	40.3309	40.1882	40.1963	40.5844	40.6277	40.5674	40.6775	40.4682	40.3737	40.3111	40.3169
82.9	0.0140	40.1833	40.3023	40.3847	40.2938	40.2767	40.1604	40.1043	40.0899	40.3165	40.3883	40.4479	40.4755	40.4138	40.3319	40.1882	40.1924	40.5759	40.6288	40.5662	40.6739	40.4778	40.3723	40.3073	40.3182
86.5	0.0140	40.1833	40.3122	40.3847	40.2697	40.2510	40.1604	40.1090	40.0981	40.3141	40.3967	40.4386	40.4768	40.4060	40.3339	40.1861	40.1871	40.5617	40.6219	40.5612	40.6715	40.4826	40.3737	40.3073	40.3222
89.9	0.0140	40.1858	40.3209	40.3802	40.2390	40.2523	40.1561	40.1055	40.0969	40.3128	40.3967	40.4346	40.4782	40.4021	40.3339	40.1861	40.1871	40.5560	40.6173	40.5624	40.6787	40.4862	40.3765	40.3048	40.3235
93.3	0.0140	40.1846	40.3284	40.3791	40.2176	40.2584	40.1453	40.1055	40.0922	40.3128	40.3957	40.4359	40.4809	40.3983	40.3278	40.1872	40.1871	40.5475	40.6219	40.5612	40.6763	40.4899	40.3792	40.3048	40.3313
96.7	0.0140	40.1871	40.3297	40.3747	40.2016	40.2608	40.1345	40.0949	40.0934	40.3116	40.3946	40.4306	40.4823	40.3944	40.3257	40.1882	40.1898	40.5390	40.6288	40.5587	40.6656	40.4947	40.3779	40.3035	40.3379
100.1	0.0140	40.1908	40.3297	40.3692	40.1936	40.2620	40.1302	40.0724	40.0946	40.3104	40.3925	40.4226	40.4809	40.3983	40.3186	40.1903	40.1871	40.5333	40.6334	40.5486	40.6513	40.5055	40.3751	40.3023	40.3444
103.6	0.0140	40.1921	40.3284	40.3692	40.2070	40.2633	40.1259	40.0500	40.0934	40.3091	40.3894	40.4133	40.4755	40.4060	40.3175	40.1892	40.1911	40.5262	40.6380	40.5424	40.6394	40.5248	40.3723	40.3010	40.3575
107.0	0.0140	40.1958	40.3272	40.3670	40.2216	40.2633	40.1291	40.0347	40.1016	40.3091	40.3883	40.4066	40.4727	40.4164	40.3268	40.1892	40.1924	40.5234	40.6415	40.5374	40.6287	40.5369	40.3668	40.2998	40.3615
110.4	0.0140	40.1995	40.3209	40.3670	40.2310	40.2645	40.1334	40.0136	40.1085	40.3091	40.3852	40.3986	40.4714	40.4267	40.3442	40.1882	40.1976	40.5206	40.6438	40.5349	40.6239	40.5502	40.3682	40.2998	40.3628
114.1	0.0140	40.2020	40.3047	40.3659	40.2443	40.2461	40.1399	39.9959	40.1109	40.3128	40.3841	40.4053	40.4686	40.4409	40.3586	40.1861	40.2029	40.5192	40.6415	40.5324	40.6180	40.5562	40.3834	40.2960	40.3864
117.5	0.0140	40.2020	40.2911	40.3670	40.2510	40.2413	40.1464	39.9936	40.1144	40.3128	40.3810	40.4146	40.4632	40.4526	40.3699	40.1872	40.2042	40.5234	40.6345	40.5336	40.6156	40.5623	40.4014	40.2973	40.4048
121.0	0.0140	40.1983	40.2786	40.3714	40.2630	40.2498	40.1529	40.0042	40.1155	40.3116	40.3799	40.4186	40.4591	40.4590	40.3833	40.1903	40.2055	40.5248	40.6415	40.5324	40.6132	40.5707	40.4152	40.3010	40.4153
124.4	0.0140	40.1921	40.2625	40.3703	40.2711	40.2535	40.1594	40.0183	40.1062	40.3128	40.3778	40.4292	40.4578	40.4655	40.3812	40.1923	40.2094	40.5262	40.6507	40.5336	40.6120	40.5731	40.4263	40.3048	40.4153
127.8	0.0140	40.1846	40.2538	40.3626	40.2831	40.2559	40.1648	40.0347	40.0829	40.3116	40.3789	40.4386	40.4632	40.4694	40.3822	40.1965	40.2108	40.5291	40.6576	40.5399	40.6085	40.5744	40.4332	40.3098	40.4127
131.2	0.0140	40.1796	40.2426	40.3538	40.2898	40.2584	40.1702	40.0359	40.0620	40.3091	40.3810	40.4466	40.4686	40.4642	40.3864	40.2027	40.2147	40.5305	40.6610	40.5486	40.6096	40.5768	40.4304	40.3124	40.4008
134.6	0.0140	40.1746	40.2351	40.3483	40.2885	40.2706	40.1745	40.0312	40.0457	40.3067	40.3852	40.4546	40.4686	40.4655	40.3915	40.2079	40.2160	40.5319	40.6530	40.5599	40.6120	40.5731	40.4277	40.3187	40.3916
138.0	0.0140	40.1671	40.2302	40.3516	40.2871	40.2792	40.1777	40.0136	40.0352	40.3030	40.3883	40.4493	40.4714	40.4642	40.3956	40.2151	40.2173	40.5362	40.6357	40.5762	40.6168	40.5731	40.4235	40.3250	40.3877
141.7	0.0140	40.1534	40.2265	40.3582	40.2911	40.2926	40.1810	39.9936	40.0155	40.2980	40.3873	40.4479	40.4755	40.4772	40.3987	40.2224	40.2226	40.5319	40.6196	40.5963	40.6168	40.5768	40.4207	40.3275	40.3811
145.2	0.0140	40.1398	40.2277	40.3626	40.2965	40.3000	40.1864	39.9771	40.0039	40.2919	40.3820	40.4559	40.4823	40.4888	40.3997	40.2286	40.2186	40.5319	40.6081	40.5900	40.6203	40.5828	40.4249	40.3325	40.3759
148.6	0.0140	40.1310	40.2277	40.3670	40.2925	40.3073	40.1875	39.9783	40.0085	40.2857	40.3736	40.4506	40.4863	40.4966	40.4028	40.2358	40.2200	40.5305	40.5978	40.5837	40.6227	40.5901	40.4318	40.3363	40.3588
152.0	0.0140	40.1199	40.2240	40.3703	40.3005	40.3134	40.1918	39.9783	40.0213	40.2783	40.3663	40.4386	40.4891	40.4992	40.4038	40.2389	40.2200	40.5248	40.5851	40.5812	40.6180	40.6010	40.4360	40.3401	40.3484
155.5	0.0140	40.1112	40.2215	40.3692	40.3112	40.3134	40.1940	39.9807	40.0283	40.2746	40.3568	40.4226	40.4918	40.5018	40.4059	40.2431	40.2160	40.5177	40.5633	40.5724	40.6168	40.6131	40.4429	40.3426	40.3366
159.0	0.0140	40.1025	40.2178	40.3648	40.3260	40.3024	40.1918	39.9912	40.0143	40.2697	40.3495	40.4066	40.4918	40.5057	40.4069	40.2400	40.2108	40.5107	40.5427	40.5687	40.6192	40.6191	40.4540	40.3426	40.3248
162.5	0.0140	40.0975	40.2103	40.3615	40.3354	40.2926	40.1918	39.9994	40.0085	40.2660	40.3401	40.3973	40.4891	40.5057	40.4121	40.2369	40.2042	40.5022	40.5221	40.5724	40.6192	40.6191	40.4540	40.3413	40.3104
165.9	0.0140	40.0925	40.2066	40.3538	40.3448	40.3000	40.1918	40.0053	40.0109	40.2574	40.3296	40.3933	40.4863	40.5083	40.4275	40.2317	40.1989	40.4951	40.4970	40.5662	40.6263	40.6191	40.4540	40.3388	40.2973
169.6	0.0140	40.0888	40.1980	40.3461	40.3528	40.3061	40.1994	40.0030	40.0097	40.2562	40.3191	40.3933	40.4836	40.5096	40.4420	40.2286	40.1950	40.4852	40.4821	40.5599	40.6310	40.6191	40.4540	40.3363	40.2947
173.0	0.0140	40.0839	40.1880	40.3406	40.3595	40.3159	40.2070	40.0194	40.0085	40.2513	40.3097	40.3919	40.4782	40.5148	40.4533	40.2307	40.1911	40.4781	40.4673	40.5574	40.6417	40.6191	40.4512	40.3363	40.2999
176.4	0.0140	40.0901	40.1769	40.3362	40.3676	40.3257	40.2167	40.0465	40.0097	40.2500	40.2992	40.3840	40.4741	40.5161	40.4575	40.2348	40.1871	40.4711	40.4638	40.5549	40.6477	40.6095	40.4387	40.3388	40.3012
179.9	0.0140	40.1037	40.1621	40.3362	40.3676	40.3416	40.2297	40.0642	40.0178	40.2488	40.2898	40.3680	40.4673	40.5122	40.4606	40.2421	40.1898	40.4640	40.4638	40.5537	40.6489	40.6022	40.4263	40.3426	40.3208
183.3	0.0140	40.1124	40.1497	40.3328	40.3730	40.3527	40.2405	40.0500	40.0283	40.2500	40.2815	40.3520	40.4605	40.4979	40.4606	40.2504	40.1898	40.4583	40.4616	40.5511	40.6429	40.5840	40.4180	40.3451	40.3497
186.7	0.0140	40.1137	40.1312	40.3351	40.3703	40.3539	40.2514	40.0383	40.0399	40.2513	40.2773	40.3308	40.4442	40.4811	40.4564	40.2587	40.1911	40.4513	40.4616	40.5474	40.6275	40.5647	40.4207	40.3489	40.3798
190.1	0.0140	40.1087	40.1213	40.3317	40.3609	40.3551	40.2612	40.0418	40.0538	40.2537	40.2741	40.3096	40.4293	40.4668	40.4492	40.2670	40.1924	40.4470	40.4730	40.5436	40.6085	40.5490	40.4263	40.3540	40.3982
